ID,Z_0,Z_1,Z_2,Z_3,Z_4,Z_5,Z_6,Z_7,Z_8,Z_9,Cage,MiceName,Date,AgeMonths,diff,DateEnd
29-1_5-20,0.23006779,-0.083286524,-0.1321257,0.155289,-0.07300676,0.04072465,-0.045170873,-0.14145106,-0.13122422,-0.05129855,Agf29,29-1,2020-05-01,4,420,2021-07-01
41-0_7-20,0.005599417,-0.2462666,-0.09287045,0.014357448,-0.03673572,0.053472783,-0.2702449,-0.18461971,-0.4662213,-0.020577554,Agf41,41-0,2020-07-01,4,420,2021-09-01
38-2_7-20,-0.014062889,-0.2598603,-0.09744102,0.09156666,-0.15553011,0.027698858,-0.024712577,-0.01688537,-0.31364712,-0.03072076,Agf38,38-2,2020-07-01,4,420,2021-09-01
32-1_7-20,0.08835216,-0.10852428,-0.06297228,0.043001946,-0.19877918,-0.07416734,0.09643696,-0.12060429,-0.092392385,-0.14770865,Agf32,32-1,2020-07-01,4,420,2021-09-01
42-1_5-20,-0.06985367,-0.12043801,-0.021785295,0.124713704,-0.18685648,-0.038760584,0.035093307,-0.117975906,-0.22792959,-0.18127486,Agf42,42-1,2020-05-01,2,480,2021-09-01
24-1_5-20,0.24680853,0.013592117,-0.1407399,0.13008365,0.043838367,0.19320372,-0.053715594,-0.12423533,-0.30238783,-0.015295114,Agf24,24-1,2020-05-01,4,420,2021-07-01
33-0_5-20,0.33856753,-0.035486877,-0.16869175,0.12768495,-0.02762273,0.097433284,-0.0067545995,-0.12678668,-0.3336606,0.03652651,Agf33,33-0,2020-05-01,2,480,2021-09-01
46-0_5-20,0.2183578,-0.2413395,-0.29155722,0.18067244,-0.115715854,-0.013153721,-0.032218985,-0.18459141,-0.1390058,-0.088200584,Agf46,46-0,2020-05-01,2,480,2021-09-01
41-0_5-20,0.15411666,-0.08925064,-0.033089608,0.06982676,0.02554015,0.017055023,-0.05764974,-0.102267034,-0.31611696,0.0001597628,Agf41,41-0,2020-05-01,2,480,2021-09-01
35-1_5-20,-0.00275293,-0.10966843,-0.047466554,0.115672715,-0.09030419,0.0849427,-0.14075014,-0.19277015,-0.24240819,-0.1586954,Agf35,35-1,2020-05-01,2,480,2021-09-01
31-2_7-20,0.19672513,-0.07256666,-0.05454481,0.024922691,0.072001725,0.15356393,-0.063874684,-0.25213236,-0.35813934,-0.1428916,Agf31,31-2,2020-07-01,4,420,2021-09-01
37-1_7-20,0.05877839,-0.07438068,0.025938619,0.075402685,-0.21889232,-0.067484036,0.104855806,-0.017672613,-0.23794295,-0.058396276,Agf37,37-1,2020-07-01,4,420,2021-09-01
27-0_5-20,0.24424702,-0.11215469,-0.13853642,0.06289215,-0.048927087,-0.043466542,-0.06710341,-0.14599665,-0.19569287,-0.012042172,Agf27,27-0,2020-05-01,4,420,2021-07-01
30-1_5-20,0.17808405,-0.11384353,-0.032968566,0.11867197,-0.10651643,0.057624213,0.053506546,-0.1521196,-0.1947342,-0.083588175,Agf30,30-1,2020-05-01,2,480,2021-09-01
34-1_7-20,0.19137293,-0.032074556,-0.023658073,0.05105958,-0.032531217,0.23308301,0.02557103,-0.18641654,-0.3260231,-0.09706281,Agf34,34-1,2020-07-01,4,420,2021-09-01
23-1_5-20,-0.01978717,-0.23917595,-0.12583348,0.17380941,-0.1059168,0.087134495,-0.29442328,-0.25805914,-0.2489443,-0.082623385,Agf23,23-1,2020-05-01,4,420,2021-07-01
44-0_5-20,0.18651581,-0.11876165,-0.03684662,0.093687266,-0.07365717,-4.4655055e-05,0.07245568,-0.113159,-0.2442737,-0.09094077,Agf44,44-0,2020-05-01,2,480,2021-09-01
15-1_5-20,0.04524771,-0.21550797,-0.14117585,0.08842425,-0.029250711,0.11909968,-0.22189263,-0.1658662,-0.30556536,-0.040126104,Agf15,15-1,2020-05-01,4,420,2021-07-01
20-0_5-20,0.1596691,-0.1161893,-0.046856888,0.010900803,-0.24476993,-0.16961494,-0.017262846,-0.13545002,-0.22390541,-0.05740933,Agf20,20-0,2020-05-01,4,420,2021-07-01
33-0_7-20,0.32049835,-0.285768,-0.11724442,0.09084564,-0.09005915,0.00090188906,0.0749141,-0.17554756,-0.35669762,0.113286726,Agf33,33-0,2020-07-01,4,420,2021-09-01
40-2_5-20,0.24161264,-0.10862099,-0.13749282,0.14387552,-0.041782103,0.07425409,-0.054525726,-0.18535678,-0.2320557,-0.03471254,Agf40,40-2,2020-05-01,2,480,2021-09-01
46-0_7-20,0.10196175,-0.12254866,0.0048575215,0.14328824,-0.06581094,-0.12933682,-0.10443315,-0.120555155,-0.35243225,0.0068985075,Agf46,46-0,2020-07-01,4,420,2021-09-01
35-0_7-20,0.090345524,-0.031803757,-0.042872448,0.04484656,-0.039797902,0.12869297,0.04940868,-0.08575949,-0.25718015,-0.08596343,Agf35,35-0,2020-07-01,4,420,2021-09-01
30-1_7-20,0.04886788,-0.1738489,0.11567405,0.03016653,-0.10227551,-0.04124156,-0.05514028,-0.11075003,-0.39024502,0.023798779,Agf30,30-1,2020-07-01,4,420,2021-09-01
38-2_5-20,0.25193465,-0.05695426,-0.14713356,0.08193837,0.14559713,0.20077251,-0.11322035,-0.065278076,-0.35830158,0.068905465,Agf38,38-2,2020-05-01,2,480,2021-09-01
43-0_5-20,0.028702118,-0.16793501,-0.055372752,0.113563105,-0.17717357,-0.05417474,0.012869034,-0.07512558,-0.12894717,-0.082164034,Agf43,43-0,2020-05-01,2,480,2021-09-01
44-1_7-20,0.25185835,-0.11413749,-0.038256794,0.07788287,-0.15937665,-0.06139824,0.20836599,-0.0198275,-0.04910016,-0.05893913,Agf44,44-1,2020-07-01,4,420,2021-09-01
22-1_5-20,0.20190004,-0.021934949,-0.101503015,0.15083316,-0.03655449,0.09670384,-0.047107555,-0.13038181,-0.25581867,-0.03422457,Agf22,22-1,2020-05-01,4,420,2021-07-01
32-0_7-20,0.25477684,-0.085551076,-0.072911724,0.18290603,-0.029374525,0.012227915,-0.00029950961,-0.11579797,-0.2023771,0.06531621,Agf32,32-0,2020-07-01,4,420,2021-09-01
45-2_7-20,0.23060215,-0.20074931,-0.15914698,0.07269615,-0.11324619,0.049238775,0.10763181,-0.07636528,-0.22206485,0.023368813,Agf45,45-2,2020-07-01,4,420,2021-09-01
43-1_7-20,0.20669235,-0.1542066,-0.038214065,-0.051691502,0.0067094415,0.077216476,0.019918181,-0.11702558,-0.25169417,0.046157487,Agf43,43-1,2020-07-01,4,420,2021-09-01
31-2_5-20,0.31030083,-0.13895427,-0.18135361,0.112078756,-0.06800438,-0.17744239,0.14776856,-0.18908843,-0.09392084,-0.13578252,Agf31,31-2,2020-05-01,2,480,2021-09-01
40-1_5-20,0.051723294,-0.15898688,-0.09143399,0.06959275,-0.17328578,-0.02332126,-0.039357737,-0.19841635,-0.10659082,-0.17643988,Agf40,40-1,2020-05-01,2,480,2021-09-01
29-0_5-20,0.10963692,-0.18430582,-0.07295071,-0.005403802,-0.29064006,-0.2023423,-0.07463728,-0.14254864,-0.18164784,-0.077569105,Agf29,29-0,2020-05-01,4,420,2021-07-01
14-2_5-20,-0.19596899,-0.28690302,-0.14632657,0.025027618,-0.020284321,0.11138533,-0.33597422,-0.14341013,-0.41473684,-0.05654117,Agf14,14-2,2020-05-01,4,420,2021-07-01
28-0_5-20,0.2735737,-0.0055182874,-0.07465073,0.11214937,0.07370593,0.10321775,-0.04528577,-0.15978631,-0.1968558,-0.0573311,Agf28,28-0,2020-05-01,4,420,2021-07-01
42-1_7-20,0.12532295,-0.100742415,-0.0921589,0.12540723,-0.01630342,0.018914547,0.00037181005,-0.14894052,-0.27512923,-0.08368568,Agf42,42-1,2020-07-01,4,420,2021-09-01
23-2_5-20,0.025930703,-0.3025665,-0.052733265,0.05460637,-0.17359135,-0.120840535,-0.22864577,-0.05801104,-0.20453441,0.0004974678,Agf23,23-2,2020-05-01,4,420,2021-07-01
18-1_5-20,0.11349539,-0.23286326,-0.18577553,-0.08101599,0.01672154,0.105341434,-0.26897755,-0.06621704,-0.41855285,0.07339146,Agf18,18-1,2020-05-01,4,420,2021-07-01
43-0_7-20,0.12785296,-0.13186425,-0.11277132,0.113187104,-0.037217353,0.18030654,-0.08362523,-0.16802213,-0.21084458,-0.09990153,Agf43,43-0,2020-07-01,4,420,2021-09-01
25-0_5-20,0.17767225,-0.09210493,-0.13585946,0.20823416,-0.120903865,0.030234614,-0.08746795,-0.15957874,-0.3156098,-0.03005445,Agf25,25-0,2020-05-01,4,420,2021-07-01
14-0_5-20,-0.033543654,-0.42720962,-0.20368528,0.1088883,-0.14199524,-0.01384474,-0.38606423,-0.1788352,-0.22609816,-0.011023194,Agf14,14-0,2020-05-01,4,420,2021-07-01
39-0_7-20,0.35330856,-0.11721826,-0.22077525,0.0063368604,0.025638446,0.10340923,-0.007745631,-0.10291706,-0.26385236,0.014633015,Agf39,39-0,2020-07-01,4,420,2021-09-01
22-0_5-20,0.118643545,-0.014212027,-0.0189512,0.112113446,-0.051814917,0.036201067,0.005990874,-0.08533181,-0.32324624,-0.05240742,Agf22,22-0,2020-05-01,4,420,2021-07-01
32-2_5-20,0.27546316,-0.072782524,-0.11092298,0.122670025,-0.12626076,0.026090842,0.04938816,-0.14533272,-0.23013157,-0.006645724,Agf32,32-2,2020-05-01,2,480,2021-09-01
23-0_5-20,0.0113155395,-0.21795097,-0.16478996,0.1687841,-0.055285614,0.09787221,-0.22821063,-0.17771316,-0.18774197,-0.09630844,Agf23,23-0,2020-05-01,4,420,2021-07-01
40-2_7-20,0.16513947,-0.14815146,-0.0923523,0.08321369,-0.27861708,-0.2809567,0.20119537,0.0088287145,0.0069856197,-0.13098969,Agf40,40-2,2020-07-01,4,420,2021-09-01
32-0_5-20,0.13202864,-0.19983086,-0.16068603,0.12827238,-0.21953788,-0.04263402,-0.119865105,-0.063264206,-0.17387615,-0.0022927374,Agf32,32-0,2020-05-01,2,480,2021-09-01
21-2_5-20,0.17604777,-0.13491039,-0.022355115,0.16973391,-0.19913244,-0.11437455,0.0040747896,-0.06137474,-0.21645245,-0.012849852,Agf21,21-2,2020-05-01,4,420,2021-07-01
18-2_5-20,0.107003756,-0.17696552,-0.10578649,-0.03344454,0.03948126,0.14181261,-0.16671,-0.1145816,-0.4570312,0.012963012,Agf18,18-2,2020-05-01,4,420,2021-07-01
